token name	description	value	version	themable
$brand-accessible	Dark variant of BRAND that is accessible with white	rgb(1, 118, 211)#0176d3BRAND_ACCESSIBLE	2.6.0	Yes
$brand-accessible-active	Active / Hover state of BRAND_A11Y	rgb(1, 68, 134)#014486BRAND_ACCESSIBLE_ACTIVE	2.6.0	Yes
$brand-background-dark	Dark variant of BRAND_BACKGROUND_PRIMARY, used within gradient of background color	rgb(1, 68, 134)#014486BRAND_BACKGROUND_DARK	2.6.0	Yes
$brand-background-dark-transparent	These RGBA values need to be updated if BRAND_BACKGROUND_DARK changes, solves webkit bug	rgba(1, 68, 134, 0)rgba(1,68,134,0)	2.6.0	Yes
$brand-background-primary	Primary page background color	rgb(238, 244, 255)#eef4ffBRAND_BACKGROUND_PRIMARY	2.6.0	Yes
$brand-background-primary-transparent	These RGBA values need to be updated if BRAND_BACKGROUND_PRIMARY changes, solves webkit bug	rgba(176, 196, 223, 0)rgba(176,196,223,0)	2.6.0	Yes
$brand-contrast	Variant of BRAND that is accessible with BRAND	rgb(26, 27, 30)#1a1b1eBRAND_CONTRAST	2.6.0	Yes
$brand-contrast-active	Active / Hover state of BRAND_CONTRAST	rgb(13, 14, 18)#0d0e12BRAND_CONTRAST_ACTIVE	2.6.0	Yes
$brand-dark	Dark variant of BRAND that is accessible with light colors	rgb(1, 118, 211)#0176d3BRAND_DARK	2.6.0	Yes
$brand-dark-active	Active / Hover state of BRAND_DARK	rgb(37, 48, 69)#253045BRAND_DARK_ACTIVE	2.6.0	Yes
$brand-disabled	Disabled state of BRAND_A11Y	rgb(201, 199, 197)#c9c7c5BRAND_DISABLED	2.6.0	Yes
$brand-header	Background color a branded app header	rgb(255, 255, 255)#ffffffPALETTE_GRAY_1	2.6.0	Yes
$brand-header-contrast	Variant of BRAND_HEADER that is accessible with BRAND_HEADER	rgb(94, 94, 94)#5e5e5e	2.6.0	Yes
$brand-header-contrast-active	Active / Hover state of BRAND_HEADER_CONTRAST	rgb(80, 80, 80)#505050	2.6.0	Yes
$brand-header-contrast-cool	Variant of BRAND_HEADER_CONTRAST that provides a cool color	rgb(1, 68, 134)#014486PALETTE_BLUE_30	2.6.0	Yes
$brand-header-contrast-cool-active	Active / Hover state of BRAND_HEADER_CONTRAST_COOL	rgb(1, 68, 134)#014486PALETTE_BLUE_30	2.6.0	Yes
$brand-header-contrast-inverse	Variant of BRAND_HEADER that is accessible with BRAND_HEADER	rgb(255, 255, 255)#ffffff	2.6.0	Yes
$brand-header-contrast-inverse-active	Active / Hover state of BRAND_HEADER_CONTRAST	rgb(238, 238, 238)#eeeeee	2.6.0	Yes
$brand-header-contrast-warm	Variant of BRAND_HEADER_CONTRAST that provides a warm color	rgb(186, 5, 23)#ba0517PALETTE_RED_40	2.6.0	Yes
$brand-header-contrast-warm-active	Active / Hover state of BRAND_HEADER_CONTRAST_WARM	rgb(186, 5, 23)#ba0517PALETTE_RED_40	2.6.0	Yes
$brand-header-contrast-weak	Weak contrast ratio, useful for iconography	rgb(145, 145, 145)#919191	2.6.0	Yes
$brand-header-contrast-weak-active	Active / Hover state of BRAND_HEADER_CONTRAST_WEAK	rgb(129, 129, 129)#818181	2.6.0	Yes
$brand-header-contrast-weak-disabled	Disabled state of BRAND_HEADER_CONTRAST_WEAK	rgba(166, 166, 166, 0.25)rgba(166,166,166,0.25)	2.6.0	Yes
$brand-header-icon	Icons of BRAND_HEADER that is accessible with BRAND_HEADER	rgb(145, 145, 145)#919191	2.6.0	Yes
$brand-header-icon-active	Active / Hover state of BRAND_HEADER_ICON	rgb(129, 129, 129)#818181	2.6.0	Yes
$brand-header-icon-disabled	Disabled state of BRAND_HEADER_ICON	rgba(145, 145, 145, 0.25)rgba(145,145,145,0.25)	2.6.0	Yes
$brand-light	Light variant of BRAND that is accessible with dark colors	rgb(244, 246, 254)#f4f6feBRAND_LIGHT	2.6.0	Yes
$brand-light-active	Active / Hover state of BRAND_LIGHT	rgb(227, 229, 237)#e3e5edBRAND_LIGHT_ACTIVE	2.6.0	Yes
$brand-primary	Primary brand color	rgb(27, 150, 255)#1b96ffBRAND_PRIMARY	2.6.0	Yes
$brand-primary-active	Active / Hover state of BRAND_PRIMARY	rgb(1, 118, 211)#0176d3BRAND_PRIMARY_ACTIVE	2.6.0	Yes
$brand-primary-transparent	Transparent value of BRAND_PRIMARY	rgba(21, 137, 238, 0.1)rgba(21,137,238,0.1)	2.6.0	Yes
$brand-primary-transparent-10	Transparent value of BRAND_PRIMARY at 10%	rgba(21, 137, 238, 0.1)rgba(21,137,238,0.1)	2.6.0	Yes
$brand-primary-transparent-40	Transparent value of BRAND_PRIMARY at 40%	rgba(21, 137, 238, 0.4)rgba(21,137,238,0.4)	2.6.0	Yes
$brand-text-link	Primary text link brand color	rgb(1, 118, 211)#0176d3BRAND_TEXT_LINK	2.6.0	Yes
$brand-text-link-active	Active / Hover state of BRAND_TEXT_LINK	rgb(1, 68, 134)#014486BRAND_TEXT_LINK_ACTIVE	2.6.0	Yes
$color-gray-1	Gray Color 1	rgb(255, 255, 255)#ffffffPALETTE_GRAY_1	2.5.0	No
$color-gray-2	Gray Color 2	rgb(250, 250, 249)#fafaf9PALETTE_GRAY_2	2.5.0	No
$color-gray-3	Gray Color 3	rgb(243, 242, 242)#f3f2f2PALETTE_GRAY_3	2.5.0	No
$color-gray-4	Gray Color 4	rgb(236, 235, 234)#ecebeaPALETTE_GRAY_4	2.5.0	No
$color-gray-5	Gray Color 5	rgb(221, 219, 218)#dddbdaPALETTE_GRAY_5	2.5.0	No
$color-gray-6	Gray Color 6	rgb(201, 199, 197)#c9c7c5PALETTE_GRAY_6	2.5.0	No
$color-gray-7	Gray Color 7	rgb(176, 173, 171)#b0adabPALETTE_GRAY_7	2.5.0	No
$color-gray-8	Gray Color 8	rgb(150, 148, 146)#969492PALETTE_GRAY_8	2.5.0	No
$color-gray-9	Gray Color 9	rgb(112, 110, 107)#706e6bPALETTE_GRAY_9	2.5.0	No
$color-gray-10	Gray Color 10	rgb(81, 79, 77)#514f4dPALETTE_GRAY_10	2.5.0	No
$color-gray-11	Gray Color 11	rgb(62, 62, 60)#3e3e3cPALETTE_GRAY_11	2.5.0	No
$color-gray-12	Gray Color 12	rgb(43, 40, 38)#2b2826PALETTE_GRAY_12	2.5.0	No
$color-gray-13	Gray Color 13	rgb(8, 7, 7)#080707PALETTE_GRAY_13	2.5.0	No
$palette-blue-10	Blue 10	rgb(0, 22, 57)#001639PALETTE_BLUE_10	2.14.0	No
$palette-blue-15	Blue 15	rgb(3, 35, 77)#03234dPALETTE_BLUE_15	2.14.0	No
$palette-blue-20	Blue 20	rgb(3, 45, 96)#032d60PALETTE_BLUE_20	2.14.0	No
$palette-blue-30	Blue 30	rgb(1, 68, 134)#014486PALETTE_BLUE_30	2.14.0	No
$palette-blue-40	Blue 40	rgb(11, 92, 171)#0b5cabPALETTE_BLUE_40	2.14.0	No
$palette-blue-50	Blue 50	rgb(1, 118, 211)#0176d3PALETTE_BLUE_50	2.14.0	No
$palette-blue-60	Blue 60	rgb(27, 150, 255)#1b96ffPALETTE_BLUE_60	2.14.0	No
$palette-blue-65	Blue 65	rgb(87, 163, 253)#57a3fdPALETTE_BLUE_65	2.14.0	No
$palette-blue-70	Blue 70	rgb(120, 176, 253)#78b0fdPALETTE_BLUE_70	2.14.0	No
$palette-blue-80	Blue 80	rgb(170, 203, 255)#aacbffPALETTE_BLUE_80	2.14.0	No
$palette-blue-90	Blue 90	rgb(216, 230, 254)#d8e6fePALETTE_BLUE_90	2.14.0	No
$palette-blue-95	Blue 95	rgb(238, 244, 255)#eef4ffPALETTE_BLUE_95	2.14.0	No
$palette-cloud-blue-10	Cloud Blue 10	rgb(0, 26, 40)#001a28PALETTE_CLOUD_BLUE_10	2.14.0	No
$palette-cloud-blue-15	Cloud Blue 15	rgb(10, 38, 54)#0a2636PALETTE_CLOUD_BLUE_15	2.14.0	No
$palette-cloud-blue-20	Cloud Blue 20	rgb(2, 50, 72)#023248PALETTE_CLOUD_BLUE_20	2.14.0	No
$palette-cloud-blue-30	Cloud Blue 30	rgb(8, 73, 104)#084968PALETTE_CLOUD_BLUE_30	2.14.0	No
$palette-cloud-blue-40	Cloud Blue 40	rgb(5, 98, 138)#05628aPALETTE_CLOUD_BLUE_40	2.14.0	No
$palette-cloud-blue-50	Cloud Blue 50	rgb(16, 124, 173)#107cadPALETTE_CLOUD_BLUE_50	2.14.0	No
$palette-cloud-blue-60	Cloud Blue 60	rgb(13, 157, 218)#0d9ddaPALETTE_CLOUD_BLUE_60	2.14.0	No
$palette-cloud-blue-65	Cloud Blue 65	rgb(8, 171, 237)#08abedPALETTE_CLOUD_BLUE_65	2.14.0	No
$palette-cloud-blue-70	Cloud Blue 70	rgb(26, 185, 255)#1ab9ffPALETTE_CLOUD_BLUE_70	2.14.0	No
$palette-cloud-blue-80	Cloud Blue 80	rgb(144, 208, 254)#90d0fePALETTE_CLOUD_BLUE_80	2.14.0	No
$palette-cloud-blue-90	Cloud Blue 90	rgb(207, 233, 254)#cfe9fePALETTE_CLOUD_BLUE_90	2.14.0	No
