token name	description	value	version	themable

$card-font-weight	Use for active tab.	700FONT_WEIGHT_BOLD	1.0.0	No

$font-family	Default font-family for Salesforce applications	-apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Helvetica, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'SANS_SERIF	1.0.0	No
$font-family-heading		-apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Helvetica, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'SANS_SERIF	1.0.0	No
$font-family-monospace		Consolas, Menlo, Monaco, Courier, monospaceMONOSPACE	1.0.0	No
$font-weight-bold	Used sparingly for emphasized text within regular body copy.	700FONT_WEIGHT_BOLD	1.0.0	No
$font-weight-regular	Most all body copy.	400FONT_WEIGHT_REGULAR	1.0.0	No

$form-label-font-size		0.75remFONT_SIZE_212px	1.0.0	No
$input-static-font-size		0.875remFONT_SIZE_414px	1.0.0	No

$input-static-font-weight		400FONT_WEIGHT_REGULAR	1.0.0	No
$page-header-title-font-weight		700FONT_WEIGHT_BOLD	1.0.0	No
$tabs-font-weight	Use for active tab.	700FONT_WEIGHT_BOLD	1.0.0	No

$font-size-1	Constant typography token for font size 1	0.625remFONT_SIZE_110px	1.0.0	No
$font-size-2	Constant typography token for font size 2	0.75remFONT_SIZE_212px	1.0.0	No
$font-size-3	Constant typography token for font size 3	0.8125remFONT_SIZE_313px	1.0.0	No
$font-size-4	Constant typography token for font size 4	0.875remFONT_SIZE_414px	1.0.0	No
$font-size-5	Constant typography token for font size 5	1remFONT_SIZE_516px	1.0.0	No
$font-size-6	Constant typography token for font size 6	1.125remFONT_SIZE_618px	1.0.0	No
$font-size-7	Constant typography token for font size 7	1.25remFONT_SIZE_720px	1.0.0	No
$font-size-8	Constant typography token for font size 8	1.5remFONT_SIZE_824px	1.0.0	No
$font-size-9	Constant typography token for font size 9	1.75remFONT_SIZE_928px	1.0.0	No
$font-size-10	Constant typography token for font size 10	2remFONT_SIZE_1032px	1.0.0	No
$font-size-11	Constant typography token for font size 11	2.625remFONT_SIZE_1142px	1.0.0	No

$var-font-size-1	Variable typography token for font size 1	0.625remFONT_SIZE_110px	1.0.0	No
$var-font-size-2	Variable typography token for font size 2	0.75remFONT_SIZE_212px	1.0.0	No
$var-font-size-3	Variable typography token for font size 3	0.8125remFONT_SIZE_313px	1.0.0	No
$var-font-size-4	Variable typography token for font size 4	0.875remFONT_SIZE_414px	1.0.0	No
$var-font-size-5	Variable typography token for font size 5	1remFONT_SIZE_516px	1.0.0	No
$var-font-size-6	Variable typography token for font size 6	1.125remFONT_SIZE_618px	1.0.0	No
$var-font-size-7	Variable typography token for font size 7	1.25remFONT_SIZE_720px	1.0.0	No
$var-font-size-8	Variable typography token for font size 8	1.5remFONT_SIZE_824px	1.0.0	No
$var-font-size-9	Variable typography token for font size 9	1.75remFONT_SIZE_928px	1.0.0	No
$var-font-size-10	Variable typography token for font size 10	2remFONT_SIZE_1032px	1.0.0	No
$var-font-size-11	Variable typography token for font size 11	2.625remFONT_SIZE_1142px	1.0.0	No

$opacity-5	50% transparency of an element	0.5	1.0.0	No
$opacity-8	80% transparency of an element	0.8	1.0.0	No

$line-height-heading	Unitless line-heights for reusability	1.25	1.0.0	No
$line-height-reset	Remove extra leading. Unitless line-heights for reusability	1	1.0.0	No
$line-height-text	Unitless line-heights for reusability	1.5	1.0.0	No

$var-line-height-text	Variable unitless line-heights for reusability	1.5	1.0.0	No

$spacing-large	Constant spacing token for size Large	1.5remSPACING_LARGE24px	1.0.0	No
$spacing-medium	Constant spacing token for size Medium	1remSPACING_MEDIUM16px	1.0.0	No
$spacing-none	Constant spacing token for 0	0SPACING_NONE	1.0.0	No
$spacing-small	Constant spacing token for size Small	0.75remSPACING_SMALL12px	1.0.0	No
$spacing-x-large	Constant spacing token for size X Large	2remSPACING_X_LARGE32px	1.0.0	No
$spacing-x-small	Constant spacing token for size X small	0.5remSPACING_X_SMALL8px	1.0.0	No
$spacing-xx-large	Constant spacing token for size XX Large	3remSPACING_XX_LARGE48px	1.0.0	No
$spacing-xx-small	Constant spacing token for size XX small	0.25remSPACING_XX_SMALL4px	1.0.0	No
$spacing-xxx-small	Constant spacing token for size XXX small	0.125remSPACING_XXX_SMALL2px	1.0.0	No
$table-cell-spacing		0.25rem 0.5remSPACING_XX_SMALL SPACING_X_SMALL4px 8px	1.0.0	No

$template-gutters		0.75remSPACING_SMALL12px	1.0.0	No
$template-profile-gutters		8rem 0.75rem 0.75rem8rem SPACING_SMALL SPACING_SMALL128px 12px 12px	1.0.0	No

